date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:36	92/92	---M-Z	200	added ('OK')	text/plain	etag:%22d9af699cf6495596f5cadd22387de3b4%22	https://lyndesign.framer.ai/robots.txt		(from )
00:57:38	487914/487914	---M-Z	200	added ('OK')	text/html	etag:%2202e09e55307413b59c92ffb5ec97c889%22	https://lyndesign.framer.ai/	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/index.html	(from )
00:57:40	374962/374962	---M-Z	200	added ('OK')	text/html	etag:%22d07700f70debe34b39a8203ca811acba%22	https://lyndesign.framer.ai/about	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/about.html	(from https://lyndesign.framer.ai/)
00:57:42	244651/244651	---M-Z	200	added ('OK')	text/html	etag:%227fbcf34d5ec3c9ef59ea6484f04d9537%22	https://lyndesign.framer.ai/projects	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/projects.html	(from https://lyndesign.framer.ai/)
00:57:45	291839/291839	---M-Z	200	added ('OK')	text/html	etag:%2299fc9efb4a1a97a676e24ee3b9a59fb5%22	https://lyndesign.framer.ai/projects/bic-group-usability-case-study	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/projects/bic-group-usability-case-study.html	(from https://lyndesign.framer.ai/)
00:57:46	320128/320128	---M-Z	200	added ('OK')	text/html	etag:%22680fe0b1ec892d4fe250847aac7712a3%22	https://lyndesign.framer.ai/projects/bic-chat	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/projects/bic-chat.html	(from https://lyndesign.framer.ai/)
00:57:49	306660/306660	---M-Z	200	added ('OK')	text/html	etag:%22773fb33811c6f89ccf8464b5db8fd4f9%22	https://lyndesign.framer.ai/projects/grove-hr	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/projects/grove-hr.html	(from https://lyndesign.framer.ai/)
00:57:51	322916/322916	---M-Z	200	added ('OK')	text/html	etag:%22c32110b618977107f9019e70d6df7977%22	https://lyndesign.framer.ai/projects/tufi-app	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/projects/tufi-app.html	(from https://lyndesign.framer.ai/)
00:57:53	312658/312658	---M-Z	200	added ('OK')	text/html	etag:%22d90fd6267a9658d5e10dd1bef57525a8%22	https://lyndesign.framer.ai/projects/onespace	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/projects/onespace.html	(from https://lyndesign.framer.ai/)
00:57:55	334872/334872	---M-Z	200	added ('OK')	text/html	etag:%225acbee0b75d3d269c19f3e5f3de0c28e%22	https://lyndesign.framer.ai/stack	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/stack.html	(from https://lyndesign.framer.ai/)
00:57:56	183928/183928	---M-Z	200	added ('OK')	text/html	etag:%22cf3321cf66aa6fc4f270defbee03c949%22	https://lyndesign.framer.ai/contact	/Users/lyn/Documents/Portfolio/framer%20/portfolio/lyndesign.framer.ai/contact.html	(from https://lyndesign.framer.ai/)
